steps,rewards,times
30950000,-50.0,2023-05-08 12:38:56.593285
31000000,-50.0,2023-05-08 12:38:59.509785
31050000,-50.0,2023-05-08 12:39:02.515784
31100000,-50.0,2023-05-08 12:39:05.383286
31150000,-50.0,2023-05-08 12:39:08.639284
31200000,-50.0,2023-05-08 12:39:11.621786
31250000,-50.0,2023-05-08 12:39:14.703786
31300000,-50.0,2023-05-08 12:39:17.865284
31350000,-50.0,2023-05-08 12:39:20.815285
31400000,-49.4,2023-05-08 12:39:23.657787
31450000,-50.0,2023-05-08 12:39:27.016284
31500000,-50.0,2023-05-08 12:39:30.015783
31550000,-50.0,2023-05-08 12:39:33.048785
31600000,-50.0,2023-05-08 12:39:36.005787
31650000,-50.0,2023-05-08 12:39:39.385284
31700000,-50.0,2023-05-08 12:39:42.380285
31750000,-50.0,2023-05-08 12:39:45.313284
31800000,-50.0,2023-05-08 12:39:48.264785
31850000,-50.0,2023-05-08 12:39:51.402285
31900000,-50.0,2023-05-08 12:39:54.305784
31950000,-50.0,2023-05-08 12:39:57.614287
32000000,-50.0,2023-05-08 12:40:00.662286
32050000,-50.0,2023-05-08 12:40:03.683784
32100000,-50.0,2023-05-08 12:40:06.707285
32150000,-50.0,2023-05-08 12:40:09.883788
32200000,-50.0,2023-05-08 12:40:12.761285
32250000,-50.0,2023-05-08 12:40:15.808787
32300000,-50.0,2023-05-08 12:40:18.916784
32350000,-50.0,2023-05-08 12:40:21.751786
32400000,-50.0,2023-05-08 12:40:24.762784
32450000,-50.0,2023-05-08 12:40:28.039285
32500000,-50.0,2023-05-08 12:40:30.929288
32550000,-50.0,2023-05-08 12:40:34.035287
32600000,-50.0,2023-05-08 12:40:37.055285
32650000,-50.0,2023-05-08 12:40:40.284785
32700000,-50.0,2023-05-08 12:40:43.298785
32750000,-50.0,2023-05-08 12:40:46.499784
32800000,-50.0,2023-05-08 12:40:49.625784
32850000,-50.0,2023-05-08 12:40:52.460284
32900000,-50.0,2023-05-08 12:40:55.556287
32950000,-50.0,2023-05-08 12:40:58.578785
33000000,-50.0,2023-05-08 12:41:01.638787
33050000,-50.0,2023-05-08 12:41:04.763786
33100000,-50.0,2023-05-08 12:41:08.019785
33150000,-50.0,2023-05-08 12:41:11.369284
33200000,-50.0,2023-05-08 12:41:14.450285
33250000,-50.0,2023-05-08 12:41:17.707787
33300000,-50.0,2023-05-08 12:41:20.686286
33350000,-50.0,2023-05-08 12:41:23.693787
33400000,-50.0,2023-05-08 12:41:26.698785
33450000,-50.0,2023-05-08 12:41:29.999286
33500000,-50.0,2023-05-08 12:41:33.045784
33550000,-50.0,2023-05-08 12:41:35.904785
33600000,-50.0,2023-05-08 12:41:38.728787
33650000,-50.0,2023-05-08 12:41:41.765786
33700000,-50.0,2023-05-08 12:41:44.672284
33750000,-50.0,2023-05-08 12:41:47.729788
33800000,-50.0,2023-05-08 12:41:50.915786
33850000,-50.0,2023-05-08 12:41:53.852785
33900000,-50.0,2023-05-08 12:41:56.770785
33950000,-50.0,2023-05-08 12:42:00.010784
34000000,-50.0,2023-05-08 12:42:02.902284
34050000,-50.0,2023-05-08 12:42:05.896285
34100000,-50.0,2023-05-08 12:42:08.895785
34150000,-50.0,2023-05-08 12:42:11.762785
34200000,-50.0,2023-05-08 12:42:14.716284
34250000,-50.0,2023-05-08 12:42:17.722286
34300000,-50.0,2023-05-08 12:42:20.833284
34350000,-50.0,2023-05-08 12:42:23.976785
34400000,-50.0,2023-05-08 12:42:27.078785
34450000,-50.0,2023-05-08 12:42:30.320285
34500000,-50.0,2023-05-08 12:42:33.564285
34550000,-50.0,2023-05-08 12:42:36.452788
34600000,-50.0,2023-05-08 12:42:39.298785
34650000,-50.0,2023-05-08 12:42:42.664288
34700000,-50.0,2023-05-08 12:42:45.839784
34750000,-50.0,2023-05-08 12:42:48.764787
34800000,-50.0,2023-05-08 12:42:52.147786
34850000,-50.0,2023-05-08 12:42:55.364283
34900000,-50.0,2023-05-08 12:42:58.236784
34950000,-50.0,2023-05-08 12:43:01.090785
35000000,-50.0,2023-05-08 12:43:04.024787
35050000,-50.0,2023-05-08 12:43:07.096287
35100000,-50.0,2023-05-08 12:43:10.289283
35150000,-50.0,2023-05-08 12:43:13.527786
35200000,-50.0,2023-05-08 12:43:16.717286
35250000,-50.0,2023-05-08 12:43:19.837785
35300000,-50.0,2023-05-08 12:43:23.197785
35350000,-50.0,2023-05-08 12:43:26.142284
35400000,-50.0,2023-05-08 12:43:29.172784
35450000,-50.0,2023-05-08 12:43:32.476285
35500000,-50.0,2023-05-08 12:43:35.827784
35550000,-50.0,2023-05-08 12:43:38.720787
35600000,-50.0,2023-05-08 12:43:41.990786
35650000,-50.0,2023-05-08 12:43:45.334784
35700000,-50.0,2023-05-08 12:43:48.300285
35750000,-50.0,2023-05-08 12:43:51.318284
35800000,-50.0,2023-05-08 12:43:54.139287
35850000,-50.0,2023-05-08 12:43:57.180784
35900000,-50.0,2023-05-08 12:44:00.123785
35950000,-50.0,2023-05-08 12:44:03.147785
36000000,-50.0,2023-05-08 12:44:06.068285
36050000,-50.0,2023-05-08 12:44:09.058786
36100000,-45.0,2023-05-08 12:44:12.261785
36150000,-50.0,2023-05-08 12:44:15.356284
36200000,-50.0,2023-05-08 12:44:18.419286
36250000,-50.0,2023-05-08 12:44:21.474786
36300000,-50.0,2023-05-08 12:44:24.582785
36350000,-50.0,2023-05-08 12:44:27.521285
36400000,-50.0,2023-05-08 12:44:30.593785
36450000,-50.0,2023-05-08 12:44:33.493283
36500000,-50.0,2023-05-08 12:44:36.479284
36550000,-50.0,2023-05-08 12:44:39.582785
36600000,-50.0,2023-05-08 12:44:42.871784
36650000,-50.0,2023-05-08 12:44:46.276286
36700000,-50.0,2023-05-08 12:44:49.547284
36750000,-50.0,2023-05-08 12:44:52.571284
36800000,-50.0,2023-05-08 12:44:55.409283
36850000,-50.0,2023-05-08 12:44:58.235284
36900000,-50.0,2023-05-08 12:45:01.317285
36950000,-50.0,2023-05-08 12:45:04.529289
37000000,-50.0,2023-05-08 12:45:07.842284
37050000,-50.0,2023-05-08 12:45:10.793785
37100000,-50.0,2023-05-08 12:45:13.802788
37150000,-50.0,2023-05-08 12:45:16.811785
37200000,-50.0,2023-05-08 12:45:19.766785
37250000,-50.0,2023-05-08 12:45:22.971784
37300000,-50.0,2023-05-08 12:45:26.242784
37350000,-50.0,2023-05-08 12:45:29.235784
37400000,-50.0,2023-05-08 12:45:32.347285
37450000,-50.0,2023-05-08 12:45:35.277785
37500000,-50.0,2023-05-08 12:45:38.294285
37550000,-45.0,2023-05-08 12:45:41.212786
37600000,-50.0,2023-05-08 12:45:44.380284
37650000,-50.0,2023-05-08 12:45:47.770785
